FillNumber,RunNumber,RtsStatus,ShiftStatus,RunType,BeginRunTime,TotalRunTime,nEvents,nFiles
18764.0,16069033,0,0,3,2015-03-10 17:30:11,1026,1897672,196
18764.0,16069034,0,0,3,2015-03-10 17:49:32,1833,3716685,325
18764.0,16069035,0,0,3,2015-03-10 18:21:11,1845,3580252,307
18764.0,16069036,0,0,3,2015-03-10 18:53:11,2296,4468939,362
18764.0,16069037,0,0,3,2015-03-10 19:33:52,148,285565,100
18764.0,16069038,0,0,3,2015-03-10 19:45:30,225,469335,102
18764.0,16069039,0,0,3,2015-03-10 19:52:45,1655,3570203,275
18764.0,16069040,0,0,3,2015-03-10 20:21:50,240,515667,107
18764.0,16069041,0,0,3,2015-03-10 20:26:52,1854,4069508,318
18764.0,16069042,0,0,3,2015-03-10 20:58:47,1894,4274461,310
18765.0,16069045,0,0,3,2015-03-10 22:45:32,149,434969,32
18765.0,16069049,0,0,3,2015-03-10 23:07:08,518,621887,104
18765.0,16069050,0,0,3,2015-03-10 23:17:44,12,11873,35
18765.0,16069052,0,0,3,2015-03-10 23:23:19,25,842,15
18765.0,16069053,0,0,3,2015-03-10 23:24:45,1232,2000000,171
18765.0,16069054,0,0,3,2015-03-10 23:46:36,1746,3852020,339
18765.0,16069055,0,0,3,2015-03-11 00:16:39,558,1246365,172
18765.0,16069060,0,0,3,2015-03-11 00:59:06,3006,6650043,406
18765.0,16069062,0,0,3,2015-03-11 02:02:06,1967,4273091,355
18765.0,16069063,0,0,3,2015-03-11 02:35:54,1227,2291119,217
18765.0,16069064,0,0,3,2015-03-11 02:57:21,1795,3939777,322
18765.0,16069065,0,0,3,2015-03-11 03:29:09,1777,3817198,328
18765.0,16069066,0,-1,3,2015-03-11 03:59:39,1714,3655234,292
18765.0,16069067,0,0,3,2015-03-11 04:31:44,857,1516331,152
18766.0,16070003,0,0,3,2015-03-11 05:52:56,2227,4350513,346
18766.0,16070004,0,0,3,2015-03-11 06:31:13,1825,4068062,390
18766.0,16070005,0,0,3,2015-03-11 07:02:32,1816,4037820,363
18766.0,16070006,0,0,3,2015-03-11 07:33:41,1842,4017590,358
18766.0,16070008,0,0,3,2015-03-11 08:09:10,2143,4640458,394
18766.0,16070009,0,0,3,2015-03-11 08:53:26,2222,4707699,393
18766.0,16070010,0,0,3,2015-03-11 09:31:22,1891,4066043,363
18766.0,16070012,0,0,3,2015-03-11 10:09:08,1820,3899824,323
18766.0,16070013,0,0,3,2015-03-11 10:40:24,1838,4012381,329
18766.0,16070014,0,0,3,2015-03-11 11:11:56,440,693448,115
18766.0,16070015,0,-1,3,2015-03-11 11:20:05,537,1173050,151
18772.0,16070039,0,0,3,2015-03-12 04:58:11,1658,2726637,178
18772.0,16071001,0,0,3,2015-03-12 05:27:33,1221,2080190,167
18772.0,16071002,0,0,3,2015-03-12 05:48:51,948,2018604,213
18772.0,16071003,0,0,3,2015-03-12 06:38:20,229,451882,102
18772.0,16071006,0,0,3,2015-03-12 06:49:00,869,2168177,212
18772.0,16071007,0,0,3,2015-03-12 07:04:18,1706,4167639,341
18772.0,16071010,0,0,3,2015-03-12 07:57:00,564,1228029,147
18772.0,16071016,0,0,3,2015-03-12 08:29:37,1552,3708183,284
18772.0,16071018,0,0,3,2015-03-12 09:00:20,551,1316680,172
18772.0,16071020,0,0,3,2015-03-12 09:14:12,54,120018,94
18772.0,16071021,0,0,3,2015-03-12 09:16:01,1891,4434741,329
18772.0,16071022,0,0,3,2015-03-12 09:48:28,1868,4375611,323
18772.0,16071023,0,0,3,2015-03-12 10:20:28,838,1966903,180
18772.0,16071024,0,0,3,2015-03-12 10:42:02,1819,4168444,290
18772.0,16071025,0,0,3,2015-03-12 11:13:13,1834,4178953,296
18772.0,16071026,0,0,3,2015-03-12 11:44:49,1652,3825936,280
18772.0,16071027,0,0,3,2015-03-12 12:13:20,1316,3070599,259
18776.0,16071045,0,0,3,2015-03-12 18:13:08,533,1116453,151
18776.0,16071046,0,0,3,2015-03-12 18:23:12,522,1210611,167
18776.0,16071050,0,0,3,2015-03-12 19:41:38,553,1132577,133
18776.0,16071051,0,0,3,2015-03-12 19:51:51,1150,2588223,222
18776.0,16071052,0,0,3,2015-03-12 20:19:47,2069,4525553,335
18776.0,16071053,0,0,3,2015-03-12 20:55:20,1851,4031340,323
18776.0,16071054,0,0,3,2015-03-12 21:27:07,1820,4017736,313
